city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode
Bondi Beach,151.2621372,-33.89188263,100.0,1,3,2,1.0,1.0,1.0,400.0,0.0,Apartment,Private room,0,t,f,strict_14_with_grace_period,91.0,2026
Bondi Beach,151.2761569,-33.8862249,80.0,1,2,4,1.0,2.0,2.0,500.0,100.0,Apartment,Entire home/apt,89,t,f,strict_14_with_grace_period,179.0,2026
Bondi Beach,151.2760418,-33.88762164,80.0,1,4,4,1.0,2.0,2.0,300.0,80.0,Apartment,Entire home/apt,0,t,f,moderate,250.0,2026
Bondi Beach,151.2567849,-33.89013265,,0,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,175,f,f,flexible,40.0,2022
Bondi Beach,151.2746454,-33.88219112,100.0,1,4,1,1.0,1.0,1.0,0.0,0.0,House,Private room,0,f,f,flexible,40.0,2026
Bondi Beach,151.270257,-33.89591631,100.0,1,4,6,1.5,3.0,5.0,500.0,100.0,House,Entire home/apt,0,t,f,flexible,235.0,2026
Bondi Beach,151.2842019,-33.89312867,99.0,16,2,2,1.0,1.0,1.0,500.0,50.0,Apartment,Entire home/apt,229,f,t,moderate,140.0,2026
Bondi Beach,151.2530757,-33.89204548,93.0,9,2,2,1.0,1.0,2.0,500.0,100.0,Apartment,Private room,90,f,f,moderate,85.0,2022
Bondi Beach,151.2679935,-33.88830336,92.0,5,3,2,1.0,1.0,1.0,0.0,20.0,Apartment,Private room,0,t,f,strict_14_with_grace_period,100.0,2026
Bondi Beach,151.2634708,-33.89292626,100.0,1,2,2,1.0,1.0,1.0,0.0,20.0,Apartment,Private room,0,t,f,flexible,60.0,2026
Bondi Beach,151.279342,-33.8874817,,0,4,4,1.0,2.0,3.0,0.0,0.0,Apartment,Entire home/apt,178,t,f,strict_14_with_grace_period,258.0,2026
Bondi Beach,151.2693468,-33.8868982,95.0,79,3,2,1.0,1.0,1.0,0.0,69.0,House,Private room,330,f,f,strict_14_with_grace_period,90.0,2026
Bondi Beach,151.2732642,-33.88951049,95.0,9,2,3,1.0,0.0,2.0,0.0,56.0,Apartment,Entire home/apt,0,f,f,moderate,124.0,2026
Bondi Beach,151.2685455,-33.89507483,93.0,6,2,4,2.0,2.0,2.0,600.0,70.0,Apartment,Entire home/apt,315,f,f,moderate,167.0,2026
Bondi Beach,151.2742468,-33.88886358,,0,3,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,flexible,80.0,2026
