room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
1.0,0.0,0.0,0.0,30,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,400.0,2026.0,3.0,0.5,-33.89188263,151.2621372,0.5,91.0
0.0,89.0,0.0,100.0,89,0.0,4.0,2.0,1.0,2.0,1.0,0.0,2.0,500.0,2026.0,2.0,0.25,-33.8862249,151.2761569,0.5,179.0
0.0,0.0,0.0,80.0,62,0.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,300.0,2026.0,4.0,0.25,-33.88762164,151.2760418,0.5,250.0
1.0,175.0,0.0,0.0,40,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2022.0,1.0,0.5,-33.89013265,151.2567849,0.5,40.0
1.0,0.0,0.0,0.0,10,15.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2026.0,4.0,1.0,-33.88219112,151.2746454,1.0,40.0
0.0,0.0,0.0,100.0,58,15.0,6.0,0.0,1.0,3.0,1.0,0.0,5.0,500.0,2026.0,4.0,0.25,-33.89591631,151.270257,0.5,235.0
0.0,229.0,1.0,50.0,70,0.0,2.0,1.0,0.0,1.0,16.0,0.0,1.0,500.0,2026.0,2.0,0.5,-33.89312867,151.2842019,0.5,140.0
1.0,90.0,0.0,100.0,42,0.0,2.0,1.0,0.0,1.0,9.0,0.0,2.0,500.0,2022.0,2.0,0.5,-33.89204548,151.2530757,0.5,85.0
1.0,0.0,0.0,20.0,33,0.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.88830336,151.2679935,0.5,100.0
1.0,0.0,0.0,20.0,30,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.89292626,151.2634708,0.5,60.0
0.0,178.0,0.0,0.0,64,0.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2026.0,4.0,0.25,-33.8874817,151.279342,0.5,258.0
1.0,330.0,0.0,69.0,30,15.0,2.0,2.0,0.0,1.0,79.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.8868982,151.2693468,0.5,90.0
0.0,0.0,0.0,56.0,62,0.0,3.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,2026.0,2.0,0.3333333333333333,-33.88951049,151.2732642,0.0,124.0
0.0,315.0,0.0,70.0,83,0.0,4.0,1.0,0.0,2.0,6.0,0.0,2.0,600.0,2026.0,2.0,0.5,-33.89507483,151.2685455,0.5,167.0
1.0,0.0,0.0,0.0,26,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,3.0,1.0,-33.88886358,151.2742468,1.0,80.0
1.0,89.0,0.0,0.0,38,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88755907,151.2702398,0.5,76.0
0.0,0.0,0.0,90.0,44,0.0,4.0,2.0,0.0,2.0,8.0,0.0,3.0,500.0,2026.0,5.0,0.25,-33.8887867,151.2631048,0.5,221.0
1.0,0.0,0.0,0.0,6,15.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,14.0,1.0,-33.88980744,151.2848568,0.5,89.0
0.0,293.0,0.0,50.0,15,0.0,2.0,2.0,0.0,1.0,38.0,0.0,1.0,0.0,2022.0,3.0,0.5,-33.8892804,151.2596854,0.5,45.0
0.0,23.0,0.0,125.0,100,0.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,200.0,2026.0,2.0,0.5,-33.8979737,151.274684,0.0,200.0
0.0,0.0,0.0,80.0,21,0.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,1000.0,2026.0,7.0,0.25,-33.88181301,151.270178,0.5,150.0
0.0,0.0,0.0,200.0,60,0.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,500.0,2026.0,5.0,0.2,-33.88776237,151.2777346,0.4,300.0
0.0,0.0,0.0,50.0,110,0.0,3.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,2026.0,2.0,0.3333333333333333,-33.88625117,151.269959,0.6666666666666666,221.0
0.0,70.0,0.0,100.0,16,15.0,4.0,2.0,1.0,3.0,2.0,0.0,4.0,1000.0,2026.0,14.0,0.5,-33.89656522,151.2623692,0.75,233.0
