city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode,state
Ryde,151.1027568,-33.81568928,100.0,7,2,2,1.0,1.0,1.0,126.0,0.0,Apartment,Private room,65,1.0,0.0,flexible,45.0,2112.0,NSW
Wentworth Point,151.0727376,-33.83115597,85.0,5,3,2,1.0,1.0,1.0,590.0,30.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,95.0,2127.0,NSW
Elizabeth Bay,151.2290337,-33.87239297,97.0,7,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,10,0.0,0.0,flexible,70.0,2011.0,NSW
Chiswick,151.1365633,-33.85141702,80.0,1,7,3,2.0,2.0,2.0,0.0,150.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,170.0,2046,NSW
Queenscliff,151.2886493,-33.78533256,,0,7,4,1.0,2.0,2.0,750.0,0.0,Apartment,Entire home/apt,157,1.0,0.0,strict_14_with_grace_period,295.0,2096,NSW
Petersham,151.152948,-33.89831846,100.0,1,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,124,0.0,0.0,moderate,100.0,2049,NSW
Bondi Beach,151.2771886,-33.88841567,,0,7,4,2.0,1.0,1.0,2000.0,100.0,Apartment,Entire home/apt,364,0.0,0.0,strict_14_with_grace_period,800.0,2026,NSW
Ultimo,151.1987186,-33.88178252,,0,10,1,2.0,1.0,1.0,300.0,0.0,House,Shared room,0,0.0,0.0,flexible,22.0,2007,NSW
Palm Beach,151.3321877,-33.60514201,100.0,1,2,4,2.0,2.0,2.0,0.0,0.0,Apartment,Entire home/apt,350,1.0,1.0,strict_14_with_grace_period,850.0,2108.0,NSW
Bondi Beach,151.2621372,-33.89188263,100.0,1,3,2,1.0,1.0,1.0,400.0,0.0,Apartment,Private room,0,1.0,0.0,strict_14_with_grace_period,91.0,2026,New South Wales
Bondi Beach,151.2761569,-33.8862249,80.0,1,2,4,1.0,2.0,2.0,500.0,100.0,Apartment,Entire home/apt,89,1.0,0.0,strict_14_with_grace_period,179.0,2026.0,NSW
Elizabeth Bay,151.2295277,-33.87318011,93.0,36,2,2,1.0,0.0,1.0,150.0,50.0,Apartment,Entire home/apt,293,1.0,0.0,flexible,100.0,2011.0,NSW
Surry Hills,151.2133758,-33.8851373,88.0,86,2,2,1.0,0.0,1.0,250.0,50.0,Apartment,Entire home/apt,250,1.0,0.0,strict_14_with_grace_period,130.0,2010,NSW
Bondi Beach,151.2760418,-33.88762164,80.0,1,4,4,1.0,2.0,2.0,300.0,80.0,Apartment,Entire home/apt,0,1.0,0.0,moderate,250.0,2026,NSW
Manly,151.2817069,-33.78963263,100.0,6,7,8,2.0,4.0,5.0,500.0,0.0,House,Entire home/apt,175,1.0,0.0,strict_14_with_grace_period,401.0,2095,NSW
Sydney,151.2703236,-33.89463706,,0,14,2,0.0,1.0,1.0,0.0,0.0,Apartment,Private room,89,0.0,0.0,moderate,90.0,,NSW
Centennial Park,151.2293742,-33.89658252,96.0,99,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,65,1.0,1.0,moderate,80.0,2021,NSW
Cammeray,151.2100153,-33.82674266,98.0,8,5,2,1.0,1.0,1.0,300.0,45.0,Apartment,Entire home/apt,186,1.0,0.0,strict_14_with_grace_period,85.0,2062,NSW
Centennial Park,151.2304686,-33.89443224,97.0,22,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,1.0,0.0,moderate,74.0,2021,NSW
Queens Park,151.2474943,-33.8969024,80.0,1,21,5,2.0,3.0,3.0,2000.0,100.0,House,Entire home/apt,365,0.0,0.0,strict_14_with_grace_period,650.0,2022,NSW
Bondi Beach,151.2567849,-33.89013265,,0,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,175,0.0,0.0,flexible,40.0,2022,NSW
Bondi Beach,151.2746454,-33.88219112,100.0,1,4,1,1.0,1.0,1.0,0.0,0.0,House,Private room,0,0.0,0.0,flexible,40.0,2026,NSW
Randwick,151.2520457,-33.91132266,100.0,2,4,4,1.0,2.0,3.0,135.0,85.0,Apartment,Entire home/apt,67,0.0,0.0,moderate,161.0,2031,NSW
Surry Hills,151.2140456,-33.87933062,97.0,13,2,2,1.0,0.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,0.0,1.0,flexible,130.0,2010.0,NSW
Newport,151.3182086,-33.65523255,91.0,88,2,5,2.0,3.0,3.0,350.0,100.0,Apartment,Entire home/apt,206,1.0,0.0,moderate,239.0,2106,NSW
Pagewood,151.2161389,-33.94043729,100.0,7,3,2,2.0,1.0,1.0,125.0,15.0,House,Private room,70,1.0,1.0,moderate,40.0,2035.0,NSW
Sydney Olympic Park,151.0721887,-33.84759392,100.0,2,6,2,1.0,1.0,1.0,140.0,20.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,74.0,2127,NSW
Cremorne,151.2246467,-33.83266184,97.0,19,2,2,1.0,1.0,1.0,150.0,40.0,Apartment,Entire home/apt,177,1.0,0.0,strict_14_with_grace_period,150.0,2090,NSW
Dee Why,151.2957677,-33.7573115,100.0,1,3,2,1.0,0.0,1.0,0.0,0.0,Apartment,Private room,14,1.0,0.0,flexible,59.0,2099.0,NSW
