
2022-02-19/22:00:14		Stage-1 => Data extraction from Astra DB has started
2022-02-19/22:00:52		Stage-1 => Data extraction from Astra DB has successfully completed
2022-02-19/22:00:54		Stage-2 => successfully Removed unwanted columns
2022-02-19/22:00:54		Stage-2 => successfully Done Data cleaning and saved the file in Data/processed/airbnb.csv
2022-02-19/22:00:58		Stage-3 => successfully Done Feature Engineering and saved the file in Data/evaluated/airbnb.csv
2022-02-19/22:00:57		Stage-3 => successfully Removed outliers for longitude
2022-02-19/22:00:57		Stage-3 => successfully Removed outliers for minimum_nights
2022-02-19/22:00:57		Stage-3 => successfully Removed outliers for price
2022-02-19/22:00:57		Stage-3 => successfully Removed outliers for Bondi Beach
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Manly
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Surry Hills
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Randwick
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Coogee
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Darlinghurst
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Sydney
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Newtown
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Redfern
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Maroubra
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Paddington
2022-02-19/22:00:58		Stage-3 => successfully Removed outliers for Mosman
2022-02-19/22:01:02		Stage-4 => successfully saved model for city in models/LabelEncoder/city.pkl
2022-02-19/22:01:02		Stage-4 => successfully saved model for property_type in models/LabelEncoder/property_type.pkl
2022-02-19/22:01:02		Stage-4 => successfully saved model for room_type in models/LabelEncoder/room_type.pkl
2022-02-19/22:01:02		Stage-4 => successfully saved model for cancellation_policy in models/LabelEncoder/cancellation_policy.pkl
2022-02-19/22:01:02		Stage-4 => successfully Handled missing values for the total data
2022-02-19/22:01:02		Stage-4 => successfully Added new columns 
2022-02-19/22:01:02		Stage-4 => successfully performed feature selection
2022-02-19/22:01:03		Stage-4 => successfully saved the final data in Data/final/airbnb.csv
2022-02-19/22:01:10		Stage-5 => successfully splitted data in the ratio of 7:3
2022-02-19/22:01:10		Stage-5 => successfully implemented normalization
2022-02-19/22:01:10		Stage-5 => Training started
2022-02-19/22:01:11		Stage-5 => Completed
2022-02-19/22:01:11		Stage-5 => Hyper parameter tuning started
2022-02-19/22:02:45		Stage-5 => successfully splitted data in the ratio of 7:3
2022-02-19/22:02:45		Stage-5 => successfully implemented normalization
2022-02-19/22:02:45		Stage-5 => Training started
2022-02-19/22:02:46		Stage-5 => Completed
2022-02-19/22:02:46		Stage-5 => Hyper parameter tuning started
2022-02-19/22:03:03		Stage-5 => Hyper parameter tuning completed
2022-02-19/22:03:03		Stage-5 => Model of the accuracy can found in this file report/scores.json
2022-02-19/22:03:03		Stage-5 => parameters of the model can found in this file report/params.json
2022-02-19/22:03:03		Stage-5 => Training and Hyper parameter tuning Done successfully completed and  saved the  model in models/xgboost/xgboost.pkl
2022-02-20/11:27:23		Stage-4 => successfully saved model for city in models/LabelEncoder/city.pkl
2022-02-20/11:27:23		Stage-4 => successfully saved model for property_type in models/LabelEncoder/property_type.pkl
2022-02-20/11:27:23		Stage-4 => successfully saved model for room_type in models/LabelEncoder/room_type.pkl
2022-02-20/11:27:23		Stage-4 => successfully saved model for cancellation_policy in models/LabelEncoder/cancellation_policy.pkl
2022-02-20/11:27:23		Stage-4 => successfully Handled missing values for the total data
2022-02-20/11:27:23		Stage-4 => successfully Added new columns 
2022-02-20/11:27:23		Stage-4 => successfully performed feature selection
2022-02-20/11:27:23		Stage-4 => successfully saved the final data in Data/final/airbnb.csv
2022-02-20/11:27:56		Stage-4 => successfully saved model for city in models/LabelEncoder/city.pkl
2022-02-20/11:27:56		Stage-4 => successfully saved model for property_type in models/LabelEncoder/property_type.pkl
2022-02-20/11:27:56		Stage-4 => successfully saved model for room_type in models/LabelEncoder/room_type.pkl
2022-02-20/11:27:56		Stage-4 => successfully saved model for cancellation_policy in models/LabelEncoder/cancellation_policy.pkl
2022-02-20/11:27:56		Stage-4 => successfully Handled missing values for the total data
2022-02-20/11:27:56		Stage-4 => successfully Added new columns 
2022-02-20/11:27:56		Stage-4 => successfully performed feature selection
2022-02-20/11:27:57		Stage-4 => successfully saved the final data in Data/final/airbnb.csv
2022-02-20/11:28:26		Stage-4 => successfully saved model for city in models/LabelEncoder/city.pkl
2022-02-20/11:28:26		Stage-4 => successfully saved model for property_type in models/LabelEncoder/property_type.pkl
2022-02-20/11:28:26		Stage-4 => successfully saved model for room_type in models/LabelEncoder/room_type.pkl
2022-02-20/11:28:26		Stage-4 => successfully saved model for cancellation_policy in models/LabelEncoder/cancellation_policy.pkl
2022-02-20/11:28:27		Stage-4 => successfully Handled missing values for the total data
2022-02-20/11:28:27		Stage-4 => successfully Added new columns 
2022-02-20/11:28:27		Stage-4 => successfully performed feature selection
2022-02-20/11:28:30		Stage-4 => successfully saved the final data in Data/final/airbnb.csv
2022-02-20/11:29:44		Stage-4 => successfully saved model for city in models/LabelEncoder/city.pkl
2022-02-20/11:29:44		Stage-4 => successfully saved model for property_type in models/LabelEncoder/property_type.pkl
2022-02-20/11:29:44		Stage-4 => successfully saved model for room_type in models/LabelEncoder/room_type.pkl
2022-02-20/11:29:44		Stage-4 => successfully saved model for cancellation_policy in models/LabelEncoder/cancellation_policy.pkl
2022-02-20/11:29:44		Stage-4 => successfully Handled missing values for the total data
2022-02-20/11:29:44		Stage-4 => successfully Added new columns 
2022-02-20/11:29:44		Stage-4 => successfully performed feature selection
2022-02-20/11:29:45		Stage-4 => successfully saved the final data in Data/final/airbnb.csv
2022-02-20/11:29:55		Stage-5 => successfully splitted data in the ratio of 7:3
2022-02-20/11:29:55		Stage-5 => successfully implemented normalization
2022-02-20/11:29:55		Stage-5 => Training started
2022-02-20/11:30:00		Stage-5 => Completed
2022-02-20/11:30:00		Stage-5 => Hyper parameter tuning started
2022-02-20/11:30:11		Stage-5 => Hyper parameter tuning completed
2022-02-20/11:30:11		Stage-5 => Model of the accuracy can found in this file report/scores.json
2022-02-20/11:30:12		Stage-5 => parameters of the model can found in this file report/params.json
2022-02-20/11:30:12		Stage-5 => Training and Hyper parameter tuning Done successfully completed and  saved the  model in models/xgboost/xgboost.pkl
